,p0.5_training_DI,p0.5_test_DI,p1_training_DI,p1_test_DI
0,2.0252846299810248,11.253456221198158,1.2579393083980241,1.4402501675228947
1,2.0423456379558806,8.65725806451613,1.156601251594872,1.7345808966861598
2,2.045095457537854,10.160729312762973,1.0893397177419355,1.3041505376344085
3,1.8381181055781743,11.3,1.1231334149326806,1.4041297935103247
4,1.947469665581533,8.239599555061178,1.0922787193973635,1.7200215736801103
5,1.9840661485503388,7.689861751152074,1.2342747496552138,1.9649122807017545
6,2.0506044590243606,8.584367245657567,1.353583293782629,1.813399503722084
7,1.9265232974910396,7.4467741935483875,1.127016129032258,1.875295043273013
8,1.982540624931284,9.555040322580645,1.1337401474701243,1.7911547911547911
9,1.7991862830572507,11.308064516129033,1.1941434654438257,1.3950892857142858
