,Unnamed: 0,p,logDI_train,logDI_test
0,0,0.0,25.39929982556806,36.21222844588801
1,1,0.0,25.39929982556806,36.21222844588801
2,2,0.0,25.39929982556806,36.21222844588801
3,3,0.0,25.39929982556806,36.21222844588801
4,4,0.0,25.39929982556806,36.21222844588801
5,5,0.0,25.39929982556806,36.21222844588801
6,6,0.0,25.39929982556806,36.21222844588801
7,7,0.0,25.39929982556806,36.21222844588801
8,8,0.0,25.39929982556806,36.21222844588801
9,9,0.0,25.39929982556806,36.21222844588801
10,10,0.0,25.39929982556806,36.21222844588801
11,11,0.0,25.39929982556806,36.21222844588801
12,12,0.0,25.39929982556806,36.21222844588801
13,13,0.0,25.39929982556806,36.21222844588801
14,14,0.0,25.39929982556806,36.21222844588801
15,15,0.0,25.39929982556806,36.21222844588801
16,16,0.0,25.39929982556806,36.21222844588801
17,17,0.0,25.39929982556806,36.21222844588801
18,18,0.0,25.39929982556806,36.21222844588801
19,19,0.0,25.39929982556806,36.21222844588801
20,20,0.0,25.39929982556806,36.21222844588801
21,21,0.0,25.39929982556806,36.21222844588801
22,22,0.0,25.39929982556806,36.21222844588801
23,23,0.0,25.39929982556806,36.21222844588801
24,24,0.0,25.39929982556806,36.21222844588801
25,25,0.25,10.620912101827649,45.2196643539604
26,26,0.25,9.266180444838083,38.871566328626336
27,27,0.25,9.37012442680719,40.584482137162475
28,28,0.25,8.516764174206521,44.906993373146506
29,29,0.25,9.69454419304835,39.79012453378669
30,30,0.25,9.952136683342573,43.31449817495271
31,31,0.25,10.14105538018364,41.64404759297181
32,32,0.25,11.054909465225188,44.44924030755523
33,33,0.25,8.008433904324447,42.41229592392261
34,34,0.25,9.409448891835806,47.303339638102095
35,35,0.25,8.688855197767982,39.36406577426706
36,36,0.25,9.394632177835074,43.14282870661165
37,37,0.25,9.130976316379893,37.51446549954041
38,38,0.25,8.858024706332785,38.18734166797171
39,39,0.25,9.055499508036824,52.537722783120785
40,40,0.25,8.073597965032697,36.822038654188965
41,41,0.25,8.803586700154934,38.809239275516184
42,42,0.25,7.501229800066852,40.71219267459216
43,43,0.25,9.397385079915763,41.96289118189858
44,44,0.25,9.663771008819317,46.18226908785727
45,45,0.25,8.565858928020331,40.300485062726224
46,46,0.25,8.438554441884131,38.16377533156732
47,47,0.25,8.993438116048363,43.24294385347235
48,48,0.25,9.631098684697584,43.22134969160531
49,49,0.25,8.919084751995745,40.643287457236276
50,50,0.5,4.2829342679710205,44.296391120013645
51,51,0.5,2.8286824010359366,32.65705886804423
52,52,0.5,2.8704616158282725,35.18314104325062
53,53,0.5,3.2999259407977766,39.323643512820894
54,54,0.5,3.3412096812922902,41.3493010724184
55,55,0.5,3.4729038376391337,38.63064016300134
56,56,0.5,3.200100130482743,34.89253612413299
57,57,0.5,2.982842895708603,43.51986580120131
58,58,0.5,2.9279272508700465,39.12323040057245
59,59,0.5,2.542385910359761,38.12003879996482
60,60,0.5,3.5828553480857654,39.811217112693036
61,61,0.5,3.02397872533836,27.04837459310965
62,62,0.5,3.544307231233262,36.826875754479005
63,63,0.5,3.325116721764936,37.25269732503593
64,64,0.5,3.1726635884893812,45.37824665383798
65,65,0.5,3.6311851934997215,45.77873584300011
66,66,0.5,3.1464058197517293,34.59145836176645
67,67,0.5,3.348349337779178,39.03622479160171
68,68,0.5,4.783718119530676,36.29676517100191
69,69,0.5,4.107580519651564,48.37371081947368
70,70,0.5,2.5441516106654363,34.81140697612841
71,71,0.5,2.2698606625988997,30.73627546466733
72,72,0.5,2.7959667599196343,28.028377409711407
73,73,0.5,3.236217834716012,37.70652414768506
74,74,0.5,3.1298467798514085,31.93084321632697
75,75,0.75,0.3758314481995615,17.11291506821377
76,76,0.75,0.6490646985867935,23.558794278751332
77,77,0.75,0.4537246993095881,11.400043398188515
78,78,0.75,1.1943812881414753,36.06887470431404
79,79,0.75,0.7240777193090642,21.208832866613164
80,80,0.75,0.5496795429974347,10.318759881262556
81,81,0.75,0.5472314852534094,12.700769060549126
82,82,0.75,0.6001873884237304,10.508398130855284
83,83,0.75,0.9811386432404204,16.049818049184616
84,84,0.75,0.9052366229407788,17.310073892930028
85,85,0.75,0.5108636355838464,10.600709846208684
86,86,0.75,0.553550300013018,15.678593151450706
87,87,0.75,0.940978746858584,19.949402437546023
88,88,0.75,1.0590004314671912,20.355860144726282
89,89,0.75,0.985400918632196,23.87807221053563
90,90,0.75,0.7281781191029846,16.57756035204765
91,91,0.75,1.0030166892977612,16.43102645406563
92,92,0.75,0.3642448813273925,7.047162953605737
93,93,0.75,0.6006860974396808,13.45643723083101
94,94,0.75,0.9624772745543538,15.13388072933117
95,95,0.75,0.4700905071377789,17.244170773764374
96,96,0.75,0.6694522567241353,16.86317706381994
97,97,0.75,0.791776292671078,18.759381404865888
98,98,0.75,1.0829060140713784,13.754309104153455
99,99,0.75,0.6093146747518567,10.999840930143206
100,100,1.0,0.12450207886734553,1.1417979348819536
101,101,1.0,0.06474622670549217,0.5774313008771651
102,102,1.0,0.25160144639801385,1.152522395329763
103,103,1.0,0.039140052926067516,2.7782322610773726
104,104,1.0,0.1771780772895019,1.9272152100731357
105,105,1.0,0.19242324911053327,0.968301399950004
106,106,1.0,0.13920387851249205,2.013558132429188
107,107,1.0,0.15897019160957448,1.265004771520548
108,108,1.0,0.05869390738802276,1.0848114036163854
109,109,1.0,0.28898478540362804,1.0929930641138843
110,110,1.0,0.06791699918464282,0.3395993281478961
111,111,1.0,0.09982098163685513,0.571013728608788
112,112,1.0,0.36867809160771103,4.700297614982894
113,113,1.0,0.08881585475251581,0.9994640477331682
114,114,1.0,0.1626151267744309,0.7766130003050128
115,115,1.0,0.04732756735347489,0.6503257261776818
116,116,1.0,0.06460821605386165,0.8779665436520688
117,117,1.0,0.23244003885204426,3.8992677626085412
118,118,1.0,0.09397950420572901,1.5113693335955667
119,119,1.0,0.2108139509385723,1.9509700676518071
120,120,1.0,0.07849021030215565,2.5445689692763893
121,121,1.0,0.09485742940841584,3.8461410300503815
122,122,1.0,0.08615556960254303,0.5705402242304227
123,123,1.0,0.14918666671231678,1.074306780171222
124,124,1.0,0.11877804833336646,1.4272038573451007
0,0,0.125,15.704226779833313,41.0882044467896
1,1,0.125,15.613400308612,38.412525244479006
2,2,0.125,16.740272802450484,41.26197593464568
3,3,0.125,15.157190091778045,40.88635494845488
4,4,0.125,15.306275624140785,40.76884320416973
5,5,0.125,14.93068375017242,42.09464555476495
6,6,0.125,15.738748953833976,41.440200836008245
7,7,0.125,15.124104852246615,43.9008133918213
8,8,0.125,16.368445868902533,41.28406836518875
9,9,0.125,16.626516206234673,42.8081773816781
10,10,0.125,14.272827219422538,38.350379491796076
11,11,0.125,15.037931810312278,37.337218709602254
12,12,0.125,12.801928033605131,38.223095797699116
13,13,0.125,14.910598811645947,37.671637276824114
14,14,0.125,14.969987373955881,42.22267311616393
15,15,0.125,15.70745981383028,45.90412582554451
16,16,0.125,17.268739790670764,40.184953704341545
17,17,0.125,14.834136854096279,39.62893334860021
18,18,0.125,15.325725024037096,40.644048240551854
19,19,0.125,16.450923579961028,41.45431456011443
20,20,0.125,15.469549654653447,37.518207122021366
21,21,0.125,15.302769696462354,38.361523174444855
22,22,0.125,16.285581241087385,42.684172166836476
23,23,0.125,14.911062077105134,40.037220546685425
24,24,0.125,13.644504161301011,36.48401236508976
25,25,0.375,5.811351283112629,47.38524746299293
26,26,0.375,6.2734541617303625,44.52112353878714
27,27,0.375,6.53846798961074,44.6106055023481
28,28,0.375,5.5360838192212825,37.0334056009165
29,29,0.375,6.00885097676659,45.8073760256181
30,30,0.375,6.6917343430646525,49.37313773186389
31,31,0.375,6.2499077116210975,38.681694590062506
32,32,0.375,5.1176254975633695,34.41116065627323
33,33,0.375,5.9857834972709965,48.1882500964484
34,34,0.375,6.414704851854006,41.51512770339379
35,35,0.375,5.2878495199501465,40.97565901986425
36,36,0.375,4.433988361189171,37.06923743179693
37,37,0.375,6.420398342942661,46.183056643269246
38,38,0.375,5.563048394933454,39.153809631817076
39,39,0.375,6.377544223447906,42.35167287682521
40,40,0.375,5.9435073766620965,40.57668112535031
41,41,0.375,6.62166482720278,43.61172129369477
42,42,0.375,5.629425747004253,36.736601155829035
43,43,0.375,4.360889619647049,45.248530306799644
44,44,0.375,5.3322896729137,40.22538754793205
45,45,0.375,5.32625922699596,38.31068913315835
46,46,0.375,5.745323205161383,37.67597604887867
47,47,0.375,5.545740993521861,43.83823246759214
48,48,0.375,4.894920023341744,33.26497801601262
49,49,0.375,6.203197523587196,42.66197408579152
50,50,0.625,1.8020945306052485,25.166145629339727
51,51,0.625,2.0603036884538626,34.62251475339839
52,52,0.625,2.1101682637961168,45.58273251082464
53,53,0.625,1.4823282477520336,23.77123179406765
54,54,0.625,2.2065738422236936,23.798861325667826
55,55,0.625,1.7046648650558198,25.32181062671048
56,56,0.625,1.912352143014624,26.503201408290025
57,57,0.625,2.2537787405273506,30.787354255158377
58,58,0.625,1.5459507114381572,24.973122769785146
59,59,0.625,1.4124527251045853,24.74805163268108
60,60,0.625,1.2989443082547691,29.215716036017607
61,61,0.625,2.2032819243216144,37.21338537015182
62,62,0.625,1.9817036912014818,28.822633216040327
63,63,0.625,2.1867799883940897,30.39643663619937
64,64,0.625,1.5602059161601105,22.77944129158644
65,65,0.625,2.4327794812278234,30.949512006380488
66,66,0.625,1.9829262732735915,45.451907668435325
67,67,0.625,1.8613102085912752,28.13281133426541
68,68,0.625,2.1861577168398707,30.16062120470518
69,69,0.625,1.8837502313688592,28.817034947800387
70,70,0.625,1.4160847047053098,20.930751001820816
71,71,0.625,1.583291546580022,29.61005603478231
72,72,0.625,2.0212899390963592,31.394598311572217
73,73,0.625,1.218645454127199,19.9093256772688
74,74,0.625,1.6853782898477474,32.10282052584861
75,75,0.875,0.4008530078873288,3.414036160675003
76,76,0.875,0.3291214513180646,5.669664253964993
77,77,0.875,0.1693352496787079,2.3760781880342083
78,78,0.875,0.17135170214635928,4.862752184581957
79,79,0.875,0.3443894096753876,6.039808105371209
80,80,0.875,0.11769153222778565,2.7469635491431768
81,81,0.875,0.15299229658734767,2.79391107649195
82,82,0.875,0.4473971557008318,5.950101526464349
83,83,0.875,0.2336449330191641,5.4610617621618776
84,84,0.875,0.3212881378158917,3.978883486762911
85,85,0.875,0.10240950319121234,3.1452150850300336
86,86,0.875,0.1997862536542025,2.2011091157896274
87,87,0.875,0.37562741847703457,3.2200629087107386
88,88,0.875,0.3820498254354008,9.97596962407085
89,89,0.875,0.3923352814567369,2.5211801973330545
90,90,0.875,0.2062399688116634,3.3960304841434197
91,91,0.875,0.2295610394736828,5.265131339027236
92,92,0.875,0.29732338995915336,7.484311708125267
93,93,0.875,0.2226159916133117,2.8235284310570683
94,94,0.875,0.2941170946988209,5.990413413045026
95,95,0.875,0.32110126965169306,6.179224129464332
96,96,0.875,0.3198185033478965,6.0676706021414315
97,97,0.875,0.36221212112069456,3.9288524994314153
98,98,0.875,0.14302123704481967,1.5949974312232025
99,99,0.875,0.5512434162757236,1.5375639225376738
