,p,logDI_train,logDI_test
0,0.0,25.39929982556806,36.21222844588801
1,0.0,25.39929982556806,36.21222844588801
2,0.0,25.39929982556806,36.21222844588801
3,0.0,25.39929982556806,36.21222844588801
4,0.0,25.39929982556806,36.21222844588801
5,0.0,25.39929982556806,36.21222844588801
6,0.0,25.39929982556806,36.21222844588801
7,0.0,25.39929982556806,36.21222844588801
8,0.0,25.39929982556806,36.21222844588801
9,0.0,25.39929982556806,36.21222844588801
10,0.0,25.39929982556806,36.21222844588801
11,0.0,25.39929982556806,36.21222844588801
12,0.0,25.39929982556806,36.21222844588801
13,0.0,25.39929982556806,36.21222844588801
14,0.0,25.39929982556806,36.21222844588801
15,0.0,25.39929982556806,36.21222844588801
16,0.0,25.39929982556806,36.21222844588801
17,0.0,25.39929982556806,36.21222844588801
18,0.0,25.39929982556806,36.21222844588801
19,0.0,25.39929982556806,36.21222844588801
20,0.0,25.39929982556806,36.21222844588801
21,0.0,25.39929982556806,36.21222844588801
22,0.0,25.39929982556806,36.21222844588801
23,0.0,25.39929982556806,36.21222844588801
24,0.0,25.39929982556806,36.21222844588801
25,0.25,10.620912101827649,45.2196643539604
26,0.25,9.266180444838085,38.871566328626336
27,0.25,9.37012442680719,40.58448213716248
28,0.25,8.516764174206521,44.906993373146506
29,0.25,9.69454419304835,39.79012453378669
30,0.25,9.952136683342571,43.3144981749527
31,0.25,10.14105538018364,41.64404759297181
32,0.25,11.05490946522519,44.44924030755523
33,0.25,8.008433904324447,42.41229592392262
34,0.25,9.409448891835806,47.30333963810209
35,0.25,8.688855197767982,39.36406577426706
36,0.25,9.394632177835074,43.14282870661166
37,0.25,9.130976316379893,37.51446549954041
38,0.25,8.858024706332785,38.18734166797171
39,0.25,9.055499508036824,52.53772278312078
40,0.25,8.073597965032697,36.82203865418896
41,0.25,8.803586700154934,38.80923927551619
42,0.25,7.501229800066852,40.71219267459216
43,0.25,9.397385079915765,41.96289118189858
44,0.25,9.663771008819317,46.18226908785727
45,0.25,8.565858928020333,40.300485062726224
46,0.25,8.438554441884131,38.16377533156732
47,0.25,8.993438116048363,43.24294385347234
48,0.25,9.631098684697585,43.22134969160531
49,0.25,8.919084751995745,40.64328745723627
50,0.5,4.2829342679710205,44.296391120013645
51,0.5,2.8286824010359366,32.65705886804423
52,0.5,2.8704616158282725,35.18314104325062
53,0.5,3.299925940797776,39.32364351282089
54,0.5,3.3412096812922902,41.3493010724184
55,0.5,3.4729038376391337,38.63064016300134
56,0.5,3.200100130482743,34.89253612413299
57,0.5,2.982842895708603,43.51986580120131
58,0.5,2.9279272508700465,39.123230400572446
59,0.5,2.5423859103597612,38.12003879996482
60,0.5,3.582855348085765,39.81121711269303
61,0.5,3.02397872533836,27.048374593109653
62,0.5,3.5443072312332626,36.826875754479005
63,0.5,3.3251167217649353,37.252697325035925
64,0.5,3.172663588489381,45.37824665383798
65,0.5,3.631185193499721,45.77873584300012
66,0.5,3.1464058197517293,34.59145836176645
67,0.5,3.3483493377791786,39.03622479160171
68,0.5,4.7837181195306755,36.29676517100191
69,0.5,4.107580519651564,48.37371081947368
70,0.5,2.5441516106654363,34.81140697612841
71,0.5,2.2698606625989,30.73627546466733
72,0.5,2.7959667599196343,28.028377409711403
73,0.5,3.2362178347160118,37.70652414768506
74,0.5,3.1298467798514085,31.93084321632697
75,0.75,0.3758314481995615,17.11291506821377
76,0.75,0.6490646985867935,23.55879427875133
77,0.75,0.4537246993095881,11.400043398188515
78,0.75,1.1943812881414753,36.06887470431404
79,0.75,0.724077719309064,21.208832866613164
80,0.75,0.5496795429974347,10.318759881262555
81,0.75,0.5472314852534094,12.700769060549124
82,0.75,0.6001873884237304,10.508398130855284
83,0.75,0.9811386432404203,16.049818049184616
84,0.75,0.9052366229407787,17.310073892930028
85,0.75,0.5108636355838464,10.600709846208684
86,0.75,0.553550300013018,15.678593151450706
87,0.75,0.9409787468585841,19.949402437546023
88,0.75,1.0590004314671912,20.35586014472628
89,0.75,0.9854009186321959,23.878072210535628
90,0.75,0.7281781191029846,16.57756035204765
91,0.75,1.0030166892977612,16.43102645406563
92,0.75,0.3642448813273925,7.047162953605736
93,0.75,0.6006860974396808,13.45643723083101
94,0.75,0.9624772745543538,15.133880729331167
95,0.75,0.4700905071377789,17.244170773764377
96,0.75,0.6694522567241353,16.86317706381994
97,0.75,0.791776292671078,18.759381404865895
98,0.75,1.0829060140713784,13.754309104153451
99,0.75,0.6093146747518567,10.999840930143208
100,1.0,0.12450207886734552,1.1417979348819536
101,1.0,0.06474622670549218,0.577431300877165
102,1.0,0.25160144639801385,1.152522395329763
103,1.0,0.03914005292606751,2.7782322610773726
104,1.0,0.1771780772895019,1.9272152100731355
105,1.0,0.19242324911053332,0.9683013999500041
106,1.0,0.13920387851249205,2.0135581324291874
107,1.0,0.15897019160957448,1.265004771520548
108,1.0,0.058693907388022756,1.0848114036163854
109,1.0,0.28898478540362804,1.0929930641138845
110,1.0,0.06791699918464282,0.33959932814789606
111,1.0,0.09982098163685513,0.571013728608788
112,1.0,0.36867809160771103,4.700297614982894
113,1.0,0.08881585475251581,0.9994640477331682
114,1.0,0.1626151267744309,0.7766130003050128
115,1.0,0.04732756735347489,0.6503257261776818
116,1.0,0.06460821605386165,0.8779665436520688
117,1.0,0.23244003885204423,3.899267762608541
118,1.0,0.093979504205729,1.511369333595567
119,1.0,0.2108139509385723,1.9509700676518071
120,1.0,0.07849021030215565,2.544568969276389
121,1.0,0.09485742940841584,3.846141030050381
122,1.0,0.08615556960254304,0.5705402242304227
123,1.0,0.14918666671231678,1.074306780171222
124,1.0,0.11877804833336643,1.4272038573451007
