,p,logDI_train,logDI_test
0,0.125,15.704226779833313,41.08820444678959
1,0.125,15.613400308612,38.412525244479006
2,0.125,16.740272802450484,41.26197593464569
3,0.125,15.157190091778045,40.88635494845488
4,0.125,15.306275624140785,40.76884320416973
5,0.125,14.930683750172419,42.09464555476495
6,0.125,15.738748953833976,41.440200836008245
7,0.125,15.124104852246617,43.900813391821295
8,0.125,16.368445868902533,41.28406836518875
9,0.125,16.626516206234673,42.8081773816781
10,0.125,14.272827219422538,38.35037949179608
11,0.125,15.03793181031228,37.337218709602254
12,0.125,12.801928033605133,38.22309579769912
13,0.125,14.910598811645947,37.67163727682412
14,0.125,14.96998737395588,42.22267311616393
15,0.125,15.70745981383028,45.90412582554451
16,0.125,17.268739790670764,40.184953704341545
17,0.125,14.834136854096279,39.62893334860021
18,0.125,15.325725024037096,40.644048240551854
19,0.125,16.450923579961028,41.45431456011443
20,0.125,15.469549654653447,37.51820712202137
21,0.125,15.302769696462356,38.361523174444855
22,0.125,16.285581241087385,42.684172166836476
23,0.125,14.911062077105132,40.03722054668542
24,0.125,13.644504161301013,36.484012365089754
25,0.375,5.811351283112628,47.385247462992915
26,0.375,6.273454161730363,44.52112353878714
27,0.375,6.53846798961074,44.6106055023481
28,0.375,5.5360838192212825,37.0334056009165
29,0.375,6.00885097676659,45.80737602561809
30,0.375,6.691734343064653,49.37313773186389
31,0.375,6.249907711621097,38.681694590062506
32,0.375,5.11762549756337,34.41116065627323
33,0.375,5.985783497270997,48.18825009644841
34,0.375,6.414704851854006,41.515127703393794
35,0.375,5.287849519950147,40.975659019864246
36,0.375,4.433988361189172,37.06923743179693
37,0.375,6.420398342942661,46.18305664326924
38,0.375,5.563048394933454,39.15380963181708
39,0.375,6.377544223447905,42.351672876825205
40,0.375,5.9435073766620965,40.576681125350305
41,0.375,6.62166482720278,43.61172129369477
42,0.375,5.629425747004253,36.73660115582904
43,0.375,4.360889619647049,45.24853030679964
44,0.375,5.3322896729137,40.22538754793205
45,0.375,5.32625922699596,38.31068913315834
46,0.375,5.745323205161382,37.67597604887867
47,0.375,5.545740993521861,43.83823246759215
48,0.375,4.894920023341743,33.26497801601262
49,0.375,6.203197523587196,42.66197408579152
50,0.625,1.8020945306052485,25.166145629339724
51,0.625,2.0603036884538626,34.62251475339839
52,0.625,2.1101682637961168,45.58273251082464
53,0.625,1.4823282477520336,23.771231794067646
54,0.625,2.206573842223694,23.798861325667822
55,0.625,1.7046648650558198,25.321810626710477
56,0.625,1.9123521430146242,26.503201408290025
57,0.625,2.2537787405273506,30.787354255158377
58,0.625,1.5459507114381572,24.973122769785142
59,0.625,1.4124527251045853,24.748051632681076
60,0.625,1.2989443082547691,29.21571603601761
61,0.625,2.2032819243216144,37.21338537015182
62,0.625,1.981703691201482,28.822633216040323
63,0.625,2.1867799883940897,30.396436636199375
64,0.625,1.5602059161601105,22.77944129158644
65,0.625,2.432779481227823,30.949512006380488
66,0.625,1.9829262732735915,45.451907668435325
67,0.625,1.8613102085912752,28.132811334265405
68,0.625,2.186157716839871,30.16062120470518
69,0.625,1.883750231368859,28.81703494780039
70,0.625,1.4160847047053098,20.930751001820816
71,0.625,1.5832915465800221,29.61005603478231
72,0.625,2.0212899390963592,31.39459831157222
73,0.625,1.218645454127199,19.909325677268797
74,0.625,1.6853782898477474,32.10282052584861
75,0.875,0.4008530078873288,3.414036160675003
76,0.875,0.3291214513180646,5.669664253964992
77,0.875,0.1693352496787079,2.3760781880342083
78,0.875,0.17135170214635928,4.862752184581957
79,0.875,0.34438940967538756,6.03980810537121
80,0.875,0.11769153222778564,2.746963549143177
81,0.875,0.15299229658734767,2.79391107649195
82,0.875,0.4473971557008318,5.95010152646435
83,0.875,0.23364493301916406,5.4610617621618776
84,0.875,0.3212881378158917,3.9788834867629106
85,0.875,0.10240950319121234,3.145215085030034
86,0.875,0.1997862536542025,2.2011091157896274
87,0.875,0.37562741847703457,3.220062908710738
88,0.875,0.3820498254354008,9.97596962407085
89,0.875,0.3923352814567369,2.5211801973330545
90,0.875,0.2062399688116634,3.39603048414342
91,0.875,0.2295610394736828,5.265131339027235
92,0.875,0.29732338995915336,7.484311708125267
93,0.875,0.2226159916133117,2.823528431057068
94,0.875,0.29411709469882086,5.990413413045026
95,0.875,0.32110126965169306,6.179224129464332
96,0.875,0.3198185033478965,6.067670602141431
97,0.875,0.36221212112069456,3.928852499431415
98,0.875,0.14302123704481967,1.5949974312232023
99,0.875,0.5512434162757236,1.5375639225376738
