logDI,threshold
3.6277710065897746,5
3.7137013518693403,10
11.015148962668684,15
11.088595790586751,20
14.825237985199134,25
14.821415721339655,30
19.031999194452023,35
18.987922754056978,40
25.420176631288548,45
25.29190818202314,50
31.016972536447483,55
31.20052810921121,60
41.11581551612282,65
42.665666942120914,70
42.369109217952044,75
42.369109217952044,80
53.11070675123162,85
52.01120816103888,90
56.94774893846101,95
